text	tokenized	tok_nostem	preprocessed	label
And the last time you were in my office , you told me you hadn't committed a crime to get the job done .	['and', 'the', 'last', 'time', 'you', 'were', 'in', 'my', 'offic', 'you', 'told', 'me', 'you', 'hadnt', 'commit', 'a', 'crime', 'to', 'get', 'the', 'job', 'done']	['and', 'the', 'last', 'time', 'you', 'were', 'in', 'my', 'office', 'you', 'told', 'me', 'you', 'hadnt', 'committed', 'a', 'crime', 'to', 'get', 'the', 'job', 'done']	and the last time you were in my offic you told me you hadnt commit a crime to get the job done	1
And the other time .	['and', 'the', 'other', 'time']	['and', 'the', 'other', 'time']	and the other time	1, 3
And the sociopaths that are in control of those programs can't be allowed to speak for planet [LOCATION] .	['and', 'the', 'sociopath', 'that', 'are', 'in', 'control', 'of', 'those', 'program', 'cant', 'be', 'allow', 'to', 'speak', 'for', 'planet', 'locat']	['and', 'the', 'sociopaths', 'that', 'are', 'in', 'control', 'of', 'those', 'programs', 'cant', 'be', 'allowed', 'to', 'speak', 'for', 'planet', 'location']	and the sociopath that are in control of those program cant be allow to speak for planet locat	1, 3, 4
And then he says , l sure hope he was guilty .  Then he laughs . 	['and', 'then', 'he', 'say', 'l', 'sure', 'hope', 'he', 'was', 'guilti', 'then', 'he', 'laugh']	['and', 'then', 'he', 'says', 'l', 'sure', 'hope', 'he', 'was', 'guilty', 'then', 'he', 'laughs']	and then he say l sure hope he was guilti then he laugh	1, 3, 7
And then he'll run our lives and take our money .	['and', 'then', 'hell', 'run', 'our', 'live', 'and', 'take', 'our', 'money']	['and', 'then', 'hell', 'run', 'our', 'lives', 'and', 'take', 'our', 'money']	and then hell run our live and take our money	1, 4
And then I shot him .	['and', 'then', 'i', 'shot', 'him']	['and', 'then', 'i', 'shot', 'him']	and then i shot him	1
And then I'm gonna get this right back .	['and', 'then', 'im', 'gonna', 'get', 'this', 'right', 'back']	['and', 'then', 'im', 'gonna', 'get', 'this', 'right', 'back']	and then im gonna get this right back	8, 1, 2, 5
And there's not a damn thing you can do about it , you understand me ?	['and', 'there', 'not', 'a', 'damn', 'thing', 'you', 'can', 'do', 'about', 'it', 'you', 'understand', 'me']	['and', 'theres', 'not', 'a', 'damn', 'thing', 'you', 'can', 'do', 'about', 'it', 'you', 'understand', 'me']	and there not a damn thing you can do about it you understand me	1, 6
And these people in the union are smarter than what they used to be .	['and', 'these', 'peopl', 'in', 'the', 'union', 'are', 'smarter', 'than', 'what', 'they', 'use', 'to', 'be']	['and', 'these', 'people', 'in', 'the', 'union', 'are', 'smarter', 'than', 'what', 'they', 'used', 'to', 'be']	and these peopl in the union are smarter than what they use to be	1, 3
And this spic , [PERSON] , what a fucking nut case .	['and', 'this', 'spic', 'person', 'what', 'a', 'fuck', 'nut', 'case']	['and', 'this', 'spic', 'person', 'what', 'a', 'fucking', 'nut', 'case']	and this spic person what a fuck nut case	1, 3, 7
And treat those two impostors Just the same ...  	['and', 'treat', 'those', 'two', 'impostor', 'just', 'the', 'same']	['and', 'treat', 'those', 'two', 'impostors', 'just', 'the', 'same']	and treat those two impostor just the same	1
And very heavily .	['and', 'veri', 'heavili']	['and', 'very', 'heavily']	and veri heavili	1
And w - what am I supposed to take your word for being worth ?	['and', 'w', 'what', 'am', 'i', 'suppos', 'to', 'take', 'your', 'word', 'for', 'be', 'worth']	['and', 'w', 'what', 'am', 'i', 'supposed', 'to', 'take', 'your', 'word', 'for', 'being', 'worth']	and w what am i suppos to take your word for be worth	1, 3
And we think it's actually their job and they're not doing it .	['and', 'we', 'think', 'it', 'actual', 'their', 'job', 'and', 'theyr', 'not', 'do', 'it']	['and', 'we', 'think', 'its', 'actually', 'their', 'job', 'and', 'theyre', 'not', 'doing', 'it']	and we think it actual their job and theyr not do it	1
And we're finished playing the key cities .	['and', 'were', 'finish', 'play', 'the', 'key', 'citi']	['and', 'were', 'finished', 'playing', 'the', 'key', 'cities']	and were finish play the key citi	1
And we're trapped .	['and', 'were', 'trap']	['and', 'were', 'trapped']	and were trap	1, 7
And what does he want ?	['and', 'what', 'doe', 'he', 'want']	['and', 'what', 'does', 'he', 'want']	and what doe he want	1
And what makes you think that note would interest me ?	['and', 'what', 'make', 'you', 'think', 'that', 'note', 'would', 'interest', 'me']	['and', 'what', 'makes', 'you', 'think', 'that', 'note', 'would', 'interest', 'me']	and what make you think that note would interest me	1
And what point is that ?	['and', 'what', 'point', 'is', 'that']	['and', 'what', 'point', 'is', 'that']	and what point is that	1
And what sort of rubbish are you turning out now ?	['and', 'what', 'sort', 'of', 'rubbish', 'are', 'you', 'turn', 'out', 'now']	['and', 'what', 'sort', 'of', 'rubbish', 'are', 'you', 'turning', 'out', 'now']	and what sort of rubbish are you turn out now	1
And what will you do then , [PERSON] ?	['and', 'what', 'will', 'you', 'do', 'then', 'person']	['and', 'what', 'will', 'you', 'do', 'then', 'person']	and what will you do then person	1
And when the next plane is shot down , make sure you get the names and ages of the innocent victims right .	['and', 'when', 'the', 'next', 'plane', 'is', 'shot', 'down', 'make', 'sure', 'you', 'get', 'the', 'name', 'and', 'age', 'of', 'the', 'innoc', 'victim', 'right']	['and', 'when', 'the', 'next', 'plane', 'is', 'shot', 'down', 'make', 'sure', 'you', 'get', 'the', 'names', 'and', 'ages', 'of', 'the', 'innocent', 'victims', 'right']	and when the next plane is shot down make sure you get the name and age of the innoc victim right	1
And where I come from , you cut a deal with me to make sure I stop looking .	['and', 'where', 'i', 'come', 'from', 'you', 'cut', 'a', 'deal', 'with', 'me', 'to', 'make', 'sure', 'i', 'stop', 'look']	['and', 'where', 'i', 'come', 'from', 'you', 'cut', 'a', 'deal', 'with', 'me', 'to', 'make', 'sure', 'i', 'stop', 'looking']	and where i come from you cut a deal with me to make sure i stop look	1, 2
And whoever holds [LOCATION] points a dagger at the heart of [LOCATION] .	['and', 'whoever', 'hold', 'locat', 'point', 'a', 'dagger', 'at', 'the', 'heart', 'of', 'locat']	['and', 'whoever', 'holds', 'location', 'points', 'a', 'dagger', 'at', 'the', 'heart', 'of', 'location']	and whoever hold locat point a dagger at the heart of locat	1
And you agree ?	['and', 'you', 'agre']	['and', 'you', 'agree']	and you agre	1, 3
And you also have to cross-modify your judgment that the entire universe was created just as the stage upon which the drama of the human development is unfolding .	['and', 'you', 'also', 'have', 'to', 'crossmodifi', 'your', 'judgment', 'that', 'the', 'entir', 'univers', 'was', 'creat', 'just', 'as', 'the', 'stage', 'upon', 'which', 'the', 'drama', 'of', 'the', 'human', 'develop', 'is', 'unfold']	['and', 'you', 'also', 'have', 'to', 'crossmodify', 'your', 'judgment', 'that', 'the', 'entire', 'universe', 'was', 'created', 'just', 'as', 'the', 'stage', 'upon', 'which', 'the', 'drama', 'of', 'the', 'human', 'development', 'is', 'unfolding']	and you also have to crossmodifi your judgment that the entir univers was creat just as the stage upon which the drama of the human develop is unfold	1
And you can't make me .	['and', 'you', 'cant', 'make', 'me']	['and', 'you', 'cant', 'make', 'me']	and you cant make me	1
And you think I don't ?	['and', 'you', 'think', 'i', 'dont']	['and', 'you', 'think', 'i', 'dont']	and you think i dont	1, 3
And you wan na know what else I think ?	['and', 'you', 'wan', 'na', 'know', 'what', 'els', 'i', 'think']	['and', 'you', 'wan', 'na', 'know', 'what', 'else', 'i', 'think']	and you wan na know what els i think	1
And you were going to hate him for the rest of your life .	['and', 'you', 'were', 'go', 'to', 'hate', 'him', 'for', 'the', 'rest', 'of', 'your', 'life']	['and', 'you', 'were', 'going', 'to', 'hate', 'him', 'for', 'the', 'rest', 'of', 'your', 'life']	and you were go to hate him for the rest of your life	1
And you wouldn't give a bent kopeck for his chances , the way he kept admitting over and over that he killed the old lady .	['and', 'you', 'wouldnt', 'give', 'a', 'bent', 'kopeck', 'for', 'his', 'chanc', 'the', 'way', 'he', 'kept', 'admit', 'over', 'and', 'over', 'that', 'he', 'kill', 'the', 'old', 'ladi']	['and', 'you', 'wouldnt', 'give', 'a', 'bent', 'kopeck', 'for', 'his', 'chances', 'the', 'way', 'he', 'kept', 'admitting', 'over', 'and', 'over', 'that', 'he', 'killed', 'the', 'old', 'lady']	and you wouldnt give a bent kopeck for his chanc the way he kept admit over and over that he kill the old ladi	1, 3
And you wouldn't want to endanger Mr. [PERSON] , would you ?	['and', 'you', 'wouldnt', 'want', 'to', 'endang', 'mr', 'person', 'would', 'you']	['and', 'you', 'wouldnt', 'want', 'to', 'endanger', 'mr', 'person', 'would', 'you']	and you wouldnt want to endang mr person would you	1, 2, 4
And you , all the time laughing at me .	['and', 'you', 'all', 'the', 'time', 'laugh', 'at', 'me']	['and', 'you', 'all', 'the', 'time', 'laughing', 'at', 'me']	and you all the time laugh at me	1, 3
And you're gonna have to blow me up too !	['and', 'your', 'gonna', 'have', 'to', 'blow', 'me', 'up', 'too']	['and', 'youre', 'gonna', 'have', 'to', 'blow', 'me', 'up', 'too']	and your gonna have to blow me up too	1
And you're shocked because I took credit for your idea .	['and', 'your', 'shock', 'becaus', 'i', 'took', 'credit', 'for', 'your', 'idea']	['and', 'youre', 'shocked', 'because', 'i', 'took', 'credit', 'for', 'your', 'idea']	and your shock becaus i took credit for your idea	1
[PERSON] olla ! , I told him my problem , I told him I loved you and he told me to keep my trap shut .	['person', 'olla', 'i', 'told', 'him', 'my', 'problem', 'i', 'told', 'him', 'i', 'love', 'you', 'and', 'he', 'told', 'me', 'to', 'keep', 'my', 'trap', 'shut']	['person', 'olla', 'i', 'told', 'him', 'my', 'problem', 'i', 'told', 'him', 'i', 'loved', 'you', 'and', 'he', 'told', 'me', 'to', 'keep', 'my', 'trap', 'shut']	person olla i told him my problem i told him i love you and he told me to keep my trap shut	1
Another break - in by some ... Sex - crazed man .	['anoth', 'break', 'in', 'by', 'some', 'sex', 'craze', 'man']	['another', 'break', 'in', 'by', 'some', 'sex', 'crazed', 'man']	anoth break in by some sex craze man	1
Answer my question .	['answer', 'my', 'question']	['answer', 'my', 'question']	answer my question	1
Any decent church would've burnt you bastards years ago .	['ani', 'decent', 'church', 'wouldv', 'burnt', 'you', 'bastard', 'year', 'ago']	['any', 'decent', 'church', 'wouldve', 'burnt', 'you', 'bastards', 'years', 'ago']	ani decent church wouldv burnt you bastard year ago	1, 3
Any of you guys call me [PERSON] , and I'll kill you .	['ani', 'of', 'you', 'guy', 'call', 'me', 'person', 'and', 'ill', 'kill', 'you']	['any', 'of', 'you', 'guys', 'call', 'me', 'person', 'and', 'ill', 'kill', 'you']	ani of you guy call me person and ill kill you	1
Anybody can type .	['anybodi', 'can', 'type']	['anybody', 'can', 'type']	anybodi can type	1
Anyhow , I'm sick a human life was lost .	['anyhow', 'im', 'sick', 'a', 'human', 'life', 'was', 'lost']	['anyhow', 'im', 'sick', 'a', 'human', 'life', 'was', 'lost']	anyhow im sick a human life was lost	1
Anyone who would deface a work of art with a color like that ought to have his ass removed .	['anyon', 'who', 'would', 'defac', 'a', 'work', 'of', 'art', 'with', 'a', 'color', 'like', 'that', 'ought', 'to', 'have', 'his', 'ass', 'remov']	['anyone', 'who', 'would', 'deface', 'a', 'work', 'of', 'art', 'with', 'a', 'color', 'like', 'that', 'ought', 'to', 'have', 'his', 'ass', 'removed']	anyon who would defac a work of art with a color like that ought to have his ass remov	1
Anything else ?	['anyth', 'els']	['anything', 'else']	anyth els	1
Anything you say can and will be used against you in a court of law .	['anyth', 'you', 'say', 'can', 'and', 'will', 'be', 'use', 'against', 'you', 'in', 'a', 'court', 'of', 'law']	['anything', 'you', 'say', 'can', 'and', 'will', 'be', 'used', 'against', 'you', 'in', 'a', 'court', 'of', 'law']	anyth you say can and will be use against you in a court of law	1
Anyway , we're late for school .	['anyway', 'were', 'late', 'for', 'school']	['anyway', 'were', 'late', 'for', 'school']	anyway were late for school	1, 2
Anyway , what's it matter to you ?	['anyway', 'what', 'it', 'matter', 'to', 'you']	['anyway', 'whats', 'it', 'matter', 'to', 'you']	anyway what it matter to you	1, 7
Anyway , when do you special intelligence officers do what you're supposed to do ?	['anyway', 'when', 'do', 'you', 'special', 'intellig', 'offic', 'do', 'what', 'your', 'suppos', 'to', 'do']	['anyway', 'when', 'do', 'you', 'special', 'intelligence', 'officers', 'do', 'what', 'youre', 'supposed', 'to', 'do']	anyway when do you special intellig offic do what your suppos to do	1
Anyways , I don't give a damn .	['anyway', 'i', 'dont', 'give', 'a', 'damn']	['anyways', 'i', 'dont', 'give', 'a', 'damn']	anyway i dont give a damn	1
Are my glasses there ? Eh ... no .	['are', 'my', 'glass', 'there', 'eh', 'no']	['are', 'my', 'glasses', 'there', 'eh', 'no']	are my glass there eh no	1
Are we gonna rescue an old man or stand here and argue ?	['are', 'we', 'gonna', 'rescu', 'an', 'old', 'man', 'or', 'stand', 'here', 'and', 'argu']	['are', 'we', 'gonna', 'rescue', 'an', 'old', 'man', 'or', 'stand', 'here', 'and', 'argue']	are we gonna rescu an old man or stand here and argu	1
Are we supposed to just sit here and wait ?	['are', 'we', 'suppos', 'to', 'just', 'sit', 'here', 'and', 'wait']	['are', 'we', 'supposed', 'to', 'just', 'sit', 'here', 'and', 'wait']	are we suppos to just sit here and wait	1
Are you blind ?	['are', 'you', 'blind']	['are', 'you', 'blind']	are you blind	1
Are you confessing to this ?	['are', 'you', 'confess', 'to', 'this']	['are', 'you', 'confessing', 'to', 'this']	are you confess to this	1
Are you confused ?	['are', 'you', 'confus']	['are', 'you', 'confused']	are you confus	1
Are you crazy ?	['are', 'you', 'crazi']	['are', 'you', 'crazy']	are you crazi	1, 7
Are you dumb ?	['are', 'you', 'dumb']	['are', 'you', 'dumb']	are you dumb	1
Are you fucking crazy ?	['are', 'you', 'fuck', 'crazi']	['are', 'you', 'fucking', 'crazy']	are you fuck crazi	1, 3
Are you going to come or do I have to drag you ?	['are', 'you', 'go', 'to', 'come', 'or', 'do', 'i', 'have', 'to', 'drag', 'you']	['are', 'you', 'going', 'to', 'come', 'or', 'do', 'i', 'have', 'to', 'drag', 'you']	are you go to come or do i have to drag you	1
Are you guys nuts ?	['are', 'you', 'guy', 'nut']	['are', 'you', 'guys', 'nuts']	are you guy nut	1
Are you happy now , yeah ?	['are', 'you', 'happi', 'now', 'yeah']	['are', 'you', 'happy', 'now', 'yeah']	are you happi now yeah	1
Are you just about finished ?	['are', 'you', 'just', 'about', 'finish']	['are', 'you', 'just', 'about', 'finished']	are you just about finish	1
Are you kidding me ?	['are', 'you', 'kid', 'me']	['are', 'you', 'kidding', 'me']	are you kid me	1, 7
Are you kidding me ? !	['are', 'you', 'kid', 'me']	['are', 'you', 'kidding', 'me']	are you kid me	1
Are you kidding ?	['are', 'you', 'kid']	['are', 'you', 'kidding']	are you kid	1, 7
Are you listening ?	['are', 'you', 'listen']	['are', 'you', 'listening']	are you listen	1
Are you looking at my hands ?	['are', 'you', 'look', 'at', 'my', 'hand']	['are', 'you', 'looking', 'at', 'my', 'hands']	are you look at my hand	1
Are you mocking me ?	['are', 'you', 'mock', 'me']	['are', 'you', 'mocking', 'me']	are you mock me	1
Are you off your trolley ?	['are', 'you', 'off', 'your', 'trolley']	['are', 'you', 'off', 'your', 'trolley']	are you off your trolley	1
Are you saying you're insane ? Is that your defense ? - Plus she took a lot of prescription medicine .	['are', 'you', 'say', 'your', 'insan', 'is', 'that', 'your', 'defens', 'plus', 'she', 'took', 'a', 'lot', 'of', 'prescript', 'medicin']	['are', 'you', 'saying', 'youre', 'insane', 'is', 'that', 'your', 'defense', 'plus', 'she', 'took', 'a', 'lot', 'of', 'prescription', 'medicine']	are you say your insan is that your defens plus she took a lot of prescript medicin	1
Are you telling me he's carrying a. and a. ?	['are', 'you', 'tell', 'me', 'hes', 'carri', 'a', 'and', 'a']	['are', 'you', 'telling', 'me', 'hes', 'carrying', 'a', 'and', 'a']	are you tell me hes carri a and a	1, 4
