text	tokenized	preprocessed	label
You wouldn't want me to go in with a blunt scalpel .	['wouldnt', 'want', 'go', 'blunt', 'scalpel']	wouldnt want go blunt scalpel	5
That's the only chance you got left .	['thats', 'chance', 'got', 'left']	thats chance got left	6
And I know this planet is safer because she's defending it .	['know', 'planet', 'safer', 'shes', 'defending']	know planet safer shes defending	8
And I appreciate it , [PERSON] .	['appreciate', 'person']	appreciate person	5
You and [PERSON] use to play when you were children ?	['person', 'use', 'play', 'children']	person use play children	2
Here's good news for you bachelors .	['heres', 'good', 'news', 'bachelors']	heres good news bachelors	5
Their privilege , their presumption .	['privilege', 'presumption']	privilege presumption	6, 7
You only pretended to be my friend .	['pretended', 'friend']	pretended friend	6
Are you still mad about [LOCATION] ?	['still', 'mad', 'location']	still mad location	7
They gonna be full up , from what I hear .	['gonna', 'full', 'hear']	gonna full hear	2
Clang had the whole temple transported here for your sacrifice .	['clang', 'whole', 'temple', 'transported', 'sacrifice']	clang whole temple transported sacrifice	1
Are you in here ? Yes !	['yes']	yes	8
This is history .	['history']	history	6
How do you know ?	['know']	know	4, 7
I'm not available .	['im', 'available']	im available	1, 3
What a shithole .	['shithole']	shithole	3
Ma damn foot's caught in the door !	['damn', 'foots', 'caught', 'door']	damn foots caught door	1
Let go , you asshole !	['let', 'go', 'asshole']	let go asshole	1
He asked you not to get those records ?	['asked', 'get', 'records']	asked get records	1
Well , that's it for another day .	['well', 'thats', 'another', 'day']	well thats another day	5
It was just like old times .	['like', 'old', 'times']	like old times	5, 6
This is the miracle I wanted .	['miracle', 'wanted']	miracle wanted	5
He's worse than [PERSON] Tex.	['hes', 'worse', 'person', 'tex']	hes worse person tex	3
Man , he is a lot bigger .	['man', 'lot', 'bigger']	man lot bigger	7
They come from the New Orleans Bridge Club ... and they've been bonded by the steward .	['come', 'new', 'orleans', 'bridge', 'club', 'theyve', 'bonded', 'steward']	come new orleans bridge club theyve bonded steward	4
You're better .	['youre', 'better']	youre better	5
Cold or not , it's good to be back in [LOCATION] .	['cold', 'good', 'back', 'location']	cold good back location	5
Let's do some good .	['lets', 'good']	lets good	2
You shut up , Dude , and listen to me .	['shut', 'dude', 'listen']	shut dude listen	1
What a glorious day it was .	['glorious', 'day']	glorious day	5
You admire the son of a bitch .	['admire', 'son', 'bitch']	admire son bitch	8, 5, 7
A lot of you incumbents will be in danger of losing your seats .	['lot', 'incumbents', 'danger', 'losing', 'seats']	lot incumbents danger losing seats	1
My gang !	['gang']	gang	8
Captain ...	['captain']	captain	4
These are the wrong keys .	['wrong', 'keys']	wrong keys	6, 7
You know , compadre ?	['know', 'compadre']	know compadre	8, 5
You're becoming an important man , [PERSON] .	['youre', 'becoming', 'important', 'man', 'person']	youre becoming important man person	8
You had me scared for a minute .	['scared', 'minute']	scared minute	4
What are we going to do ?	['going']	going	4
You're the little guy that tried to make off with my queen .	['youre', 'little', 'guy', 'tried', 'make', 'queen']	youre little guy tried make queen	3
She's gonna kill him , [PERSON] .	['shes', 'gonna', 'kill', 'person']	shes gonna kill person	4
We've got ta get the kids !	['weve', 'got', 'ta', 'get', 'kids']	weve got ta get kids	4
Why isn't he traveling with you ?	['isnt', 'traveling']	isnt traveling	7
If that horse would run tomorrow ,	['horse', 'would', 'run', 'tomorrow']	horse would run tomorrow	2
Oh , thank God .	['oh', 'thank', 'god']	oh thank god	5
Don't even breathe !	['dont', 'even', 'breathe']	dont even breathe	1
I love my country .	['love', 'country']	love country	8, 5
Been dead over hours .	['dead', 'hours']	dead hours	6
Good .	['good']	good	8, 5
So , fuck it . I figure I've got to straighten him out a little bit .	['fuck', 'figure', 'ive', 'got', 'straighten', 'little', 'bit']	fuck figure ive got straighten little bit	1
I've told you that he is what other men are not .	['ive', 'told', 'men']	ive told men	8, 5
Give them a taste of their own iron !	['give', 'taste', 'iron']	give taste iron	1
So we know where to look .	['know', 'look']	know look	2
Want me to pick out one for you , Dutch ?	['want', 'pick', 'one', 'dutch']	want pick one dutch	8
I swear . I don't know where you get it from . But you !	['swear', 'dont', 'know', 'get']	swear dont know get	1
Sent what ?	['sent']	sent	4
I didn't expect to be called to see the admiral , sir .	['didnt', 'expect', 'called', 'see', 'admiral', 'sir']	didnt expect called see admiral sir	7
Will you please tell me how you knew that ?	['please', 'tell', 'knew']	please tell knew	7
Some gang of cutthroats and murderers .	['gang', 'cutthroats', 'murderers']	gang cutthroats murderers	4
Which items ?	['items']	items	7
You sit down and pull up your pants and where would it get you ?	['sit', 'pull', 'pants', 'would', 'get']	sit pull pants would get	3
You hate guys like me , don't you ?	['hate', 'guys', 'like', 'dont']	hate guys like dont	3, 4, 6
Hey . What the hell was that ?	['hey', 'hell']	hey hell	1, 3, 7
How'd you like to have [PERSON] for a mother ? Or [PERSON] ?	['howd', 'like', 'person', 'mother', 'person']	howd like person mother person	5
The hearth lighted in the room to summer way , [PERSON] ?	['hearth', 'lighted', 'room', 'summer', 'way', 'person']	hearth lighted room summer way person	5
Running up stairs keeps my legs slim .	['running', 'stairs', 'keeps', 'legs', 'slim']	running stairs keeps legs slim	5
It's a better world , we're all bound for .	['better', 'world', 'bound']	better world bound	8, 2
Of course .	['course']	course	8, 1, 2, 5
You don't know how much satisfaction it's been to me .	['dont', 'know', 'much', 'satisfaction']	dont know much satisfaction	5
Mrs. [PERSON] , this is your wake - up call .	['mrs', 'person', 'wake', 'call']	mrs person wake call	2, 4, 6
You can't take the life of another human being and get away with it !	['cant', 'take', 'life', 'another', 'human', 'get', 'away']	cant take life another human get away	3
Just grow up and go to sleep .	['grow', 'go', 'sleep']	grow go sleep	3
They might have a hundred guns , but it's safer down here !	['might', 'hundred', 'guns', 'safer']	might hundred guns safer	2, 5
I would like you to meet a few of the exhibits here on the platform .	['would', 'like', 'meet', 'exhibits', 'platform']	would like meet exhibits platform	2
It takes away the pain .	['takes', 'away', 'pain']	takes away pain	6
Please . Look , this is ridiculous . You do not have to apologize .	['please', 'look', 'ridiculous', 'apologize']	please look ridiculous apologize	2, 4
You've never known .	['youve', 'never', 'known']	youve never known	6
It's like having a beast ... wild within me ,	['like', 'beast', 'wild', 'within']	like beast wild within	3, 4
A man dropped you off unconscious . Who ?	['man', 'dropped', 'unconscious']	man dropped unconscious	4
I wiped the fingerprints , do not worry .	['wiped', 'fingerprints', 'worry']	wiped fingerprints worry	8
Sign it !	['sign']	sign	2
Not exactly .	['exactly']	exactly	6, 7
Are you saying he's dead ? Not lying down dead , my friend .	['saying', 'hes', 'dead', 'lying', 'dead', 'friend']	saying hes dead lying dead friend	2, 4
Or a wolf ?	['wolf']	wolf	6
I'm so bored with this face .	['im', 'bored', 'face']	im bored face	3
Someone will take care of you right away .	['someone', 'take', 'care', 'right', 'away']	someone take care right away	8
We were drilled like little soldiers .	['drilled', 'like', 'little', 'soldiers']	drilled like little soldiers	6
We've run into a fog system not previously reported .	['weve', 'run', 'fog', 'system', 'previously', 'reported']	weve run fog system previously reported	4
Can he present to proof D  ? 	['present', 'proof']	present proof	2
Shoddy work will not do .	['shoddy', 'work']	shoddy work	3
Don't you want to go to [LOCATION] ?	['dont', 'want', 'go', 'location']	dont want go location	7
Kiss my ass .	['kiss', 'ass']	kiss ass	1
Now , we must act immediately .	['must', 'act', 'immediately']	must act immediately	2
I'm not interested in your opinion .	['im', 'interested', 'opinion']	im interested opinion	1
God , we got a single shooter , southeast tower .	['god', 'got', 'single', 'shooter', 'southeast', 'tower']	god got single shooter southeast tower	4
We come from a good family My name is Windy	['come', 'good', 'family', 'name', 'windy']	come good family name windy	2, 5
If I didn't love these boys so much , I think I'd kill them myself .	['didnt', 'love', 'boys', 'much', 'think', 'id', 'kill']	didnt love boys much think id kill	3
Do you question my word ?	['question', 'word']	question word	1
When you can see into this crystal , then you will be ready .	['see', 'crystal', 'ready']	see crystal ready	8
Bloody woman .	['bloody', 'woman']	bloody woman	1
I don't like this , any of it .	['dont', 'like']	dont like	4
So you're going to report sister [PERSON] to the police ?	['youre', 'going', 'report', 'sister', 'person', 'police']	youre going report sister person police	4
Keep [PERSON] away from anything that smacks of politics .	['keep', 'person', 'away', 'anything', 'smacks', 'politics']	keep person away anything smacks politics	3
It'll be lovely .	['itll', 'lovely']	itll lovely	2
It's terribly expensive here , [PERSON] .	['terribly', 'expensive', 'person']	terribly expensive person	3
This is the largest police car I've ever seen .	['largest', 'police', 'car', 'ive', 'ever', 'seen']	largest police car ive ever seen	7
Rocky , I don't wan na make sandwiches .	['rocky', 'dont', 'wan', 'na', 'make', 'sandwiches']	rocky dont wan na make sandwiches	1, 2, 4, 6
That surprises me .	['surprises']	surprises	7
Take your hands off me !	['take', 'hands']	take hands	1
Remember , when you invited me ?	['remember', 'invited']	remember invited	7
Everything okay ?	['everything', 'okay']	everything okay	5
That's out of our jurisdiction , isn't it ?	['thats', 'jurisdiction', 'isnt']	thats jurisdiction isnt	3
I'll kill him and his bloody beast .	['ill', 'kill', 'bloody', 'beast']	ill kill bloody beast	1
You've finished the whole investigation ?	['youve', 'finished', 'whole', 'investigation']	youve finished whole investigation	7
Can we track the grandmother's cell ?	['track', 'grandmothers', 'cell']	track grandmothers cell	2
I'm just an old farm boy .	['im', 'old', 'farm', 'boy']	im old farm boy	6
Well , look who's here .	['well', 'look', 'whos']	well look whos	7
I guess that's for me to know and you to find out , Detective [PERSON] !	['guess', 'thats', 'know', 'find', 'detective', 'person']	guess thats know find detective person	2
Marry her !	['marry']	marry	2, 5
They'll kill us first .	['theyll', 'kill', 'us', 'first']	theyll kill us first	4
From the moment you surrendered , you ceased to be soldiers .	['moment', 'surrendered', 'ceased', 'soldiers']	moment surrendered ceased soldiers	3
I thought you'd be happy .	['thought', 'youd', 'happy']	thought youd happy	7
Hey , I'm looking to party , can you help me out ?	['hey', 'im', 'looking', 'party', 'help']	hey im looking party help	2
That's twice you've let me down , kid .	['thats', 'twice', 'youve', 'let', 'kid']	thats twice youve let kid	1
Why are you doing this to yourself ?	[]		1, 3, 7
That is undoubtedly true .	['undoubtedly', 'true']	undoubtedly true	8
I have something .	['something']	something	2
But it's bleeding ?	['bleeding']	bleeding	4
Who you trying to kid , sister ?	['trying', 'kid', 'sister']	trying kid sister	1
This guy's a phony , [PERSON] .	['guys', 'phony', 'person']	guys phony person	3
You'll make no calls .	['youll', 'make', 'calls']	youll make calls	1
Don't I know ?	['dont', 'know']	dont know	7
Everything's so clean . Everybody's so nice .	['everythings', 'clean', 'everybodys', 'nice']	everythings clean everybodys nice	8, 5
Is this one of your shenanigans ?	['one', 'shenanigans']	one shenanigans	3
And if we could find it , it wouldn't have a tear .	['could', 'find', 'wouldnt', 'tear']	could find wouldnt tear	1
