text	text_nopunct	text_downcase	tokenized	nostop	lemmatized	label
I've been doing some checking on you , Mr. [PERSON] .	Ive been doing some checking on you  Mr PERSON	ive been doing some checking on you  mr person	['ive', 'been', 'doing', 'some', 'checking', 'on', 'you', 'mr', 'person']	['ive', 'checking', 'mr', 'person']	['ive', 'checking', 'mr', 'person']	4, 7
I can't believe that .	I cant believe that	i cant believe that	['i', 'cant', 'believe', 'that']	['cant', 'believe']	['cant', 'believe']	7
Don't you ever sleep ?	Dont you ever sleep	dont you ever sleep	['dont', 'you', 'ever', 'sleep']	['dont', 'ever', 'sleep']	['dont', 'ever', 'sleep']	7
One of these days , I'm gonna spend me the rest of my life in one of these hot ...	One of these days  Im gonna spend me the rest of my life in one of these hot	one of these days  im gonna spend me the rest of my life in one of these hot	['one', 'of', 'these', 'days', 'im', 'gonna', 'spend', 'me', 'the', 'rest', 'of', 'my', 'life', 'in', 'one', 'of', 'these', 'hot']	['one', 'days', 'im', 'gonna', 'spend', 'rest', 'life', 'one', 'hot']	['one', 'day', 'im', 'gonna', 'spend', 'rest', 'life', 'one', 'hot']	2
Me and you are alive .	Me and you are alive	me and you are alive	['me', 'and', 'you', 'are', 'alive']	['alive']	['alive']	8, 5
I think you've solved the problem .	I think youve solved the problem	i think youve solved the problem	['i', 'think', 'youve', 'solved', 'the', 'problem']	['think', 'youve', 'solved', 'problem']	['think', 'youve', 'solved', 'problem']	8
It's going to be a disaster .	Its going to be a disaster	its going to be a disaster	['its', 'going', 'to', 'be', 'a', 'disaster']	['going', 'disaster']	['going', 'disaster']	4, 6
The police would know what to do .	The police would know what to do	the police would know what to do	['the', 'police', 'would', 'know', 'what', 'to', 'do']	['police', 'would', 'know']	['police', 'would', 'know']	8
Anything that man tells me will be a lie .	Anything that man tells me will be a lie	anything that man tells me will be a lie	['anything', 'that', 'man', 'tells', 'me', 'will', 'be', 'a', 'lie']	['anything', 'man', 'tells', 'lie']	['anything', 'man', 'tell', 'lie']	3
Do you think I do ?	Do you think I do	do you think i do	['do', 'you', 'think', 'i', 'do']	['think']	['think']	1
I deeded him the land and he guaranteed me half of what he got if he made the sale .	I deeded him the land and he guaranteed me half of what he got if he made the sale	i deeded him the land and he guaranteed me half of what he got if he made the sale	['i', 'deeded', 'him', 'the', 'land', 'and', 'he', 'guaranteed', 'me', 'half', 'of', 'what', 'he', 'got', 'if', 'he', 'made', 'the', 'sale']	['deeded', 'land', 'guaranteed', 'half', 'got', 'made', 'sale']	['deeded', 'land', 'guaranteed', 'half', 'got', 'made', 'sale']	8
I haven't even told my wife yet . You haven't ?	I havent even told my wife yet  You havent	i havent even told my wife yet  you havent	['i', 'havent', 'even', 'told', 'my', 'wife', 'yet', 'you', 'havent']	['havent', 'even', 'told', 'wife', 'yet', 'havent']	['havent', 'even', 'told', 'wife', 'yet', 'havent']	4
We'll go together .	Well go together	well go together	['well', 'go', 'together']	['well', 'go', 'together']	['well', 'go', 'together']	2
I believe in your sweat .	I believe in your sweat	i believe in your sweat	['i', 'believe', 'in', 'your', 'sweat']	['believe', 'sweat']	['believe', 'sweat']	8
Well , what's there to talk about ?	Well  whats there to talk about	well  whats there to talk about	['well', 'whats', 'there', 'to', 'talk', 'about']	['well', 'whats', 'talk']	['well', 'whats', 'talk']	1
No she didn't . - Did you kill her ?	No she didnt   Did you kill her	no she didnt   did you kill her	['no', 'she', 'didnt', 'did', 'you', 'kill', 'her']	['didnt', 'kill']	['didnt', 'kill']	1, 6
Leader , party just got bigger .	Leader  party just got bigger	leader  party just got bigger	['leader', 'party', 'just', 'got', 'bigger']	['leader', 'party', 'got', 'bigger']	['leader', 'party', 'got', 'bigger']	7
Now let him win it back !	Now let him win it back	now let him win it back	['now', 'let', 'him', 'win', 'it', 'back']	['let', 'win', 'back']	['let', 'win', 'back']	7
You'll not take her while I live !	Youll not take her while I live	youll not take her while i live	['youll', 'not', 'take', 'her', 'while', 'i', 'live']	['youll', 'take', 'live']	['youll', 'take', 'live']	1
Please come . Please come .	Please come  Please come	please come  please come	['please', 'come', 'please', 'come']	['please', 'come', 'please', 'come']	['please', 'come', 'please', 'come']	6
Like one time , I was with this guy and he came into my bedroom and he was naked , except he still had his socks on .	Like one time  I was with this guy and he came into my bedroom and he was naked  except he still had his socks on	like one time  i was with this guy and he came into my bedroom and he was naked  except he still had his socks on	['like', 'one', 'time', 'i', 'was', 'with', 'this', 'guy', 'and', 'he', 'came', 'into', 'my', 'bedroom', 'and', 'he', 'was', 'naked', 'except', 'he', 'still', 'had', 'his', 'socks', 'on']	['like', 'one', 'time', 'guy', 'came', 'bedroom', 'naked', 'except', 'still', 'socks']	['like', 'one', 'time', 'guy', 'came', 'bedroom', 'naked', 'except', 'still', 'sock']	7
Wouldn't you say that prison is my fate ?	Wouldnt you say that prison is my fate	wouldnt you say that prison is my fate	['wouldnt', 'you', 'say', 'that', 'prison', 'is', 'my', 'fate']	['wouldnt', 'say', 'prison', 'fate']	['wouldnt', 'say', 'prison', 'fate']	4, 6
And that's all I can give you .	And thats all I can give you	and thats all i can give you	['and', 'thats', 'all', 'i', 'can', 'give', 'you']	['thats', 'give']	['thats', 'give']	6
You lose the feel of the cards when you have so much action ... day in and day out .	You lose the feel of the cards when you have so much action  day in and day out	you lose the feel of the cards when you have so much action  day in and day out	['you', 'lose', 'the', 'feel', 'of', 'the', 'cards', 'when', 'you', 'have', 'so', 'much', 'action', 'day', 'in', 'and', 'day', 'out']	['lose', 'feel', 'cards', 'much', 'action', 'day', 'day']	['lose', 'feel', 'card', 'much', 'action', 'day', 'day']	6
They let you in again ?	They let you in again	they let you in again	['they', 'let', 'you', 'in', 'again']	['let']	['let']	3
Because we've lived through it .	Because weve lived through it	because weve lived through it	['because', 'weve', 'lived', 'through', 'it']	['weve', 'lived']	['weve', 'lived']	1, 5
After all she done ?	After all she done	after all she done	['after', 'all', 'she', 'done']	['done']	['done']	6, 7
Sure .	Sure	sure	['sure']	['sure']	['sure']	8, 5
Because we belong together .	Because we belong together	because we belong together	['because', 'we', 'belong', 'together']	['belong', 'together']	['belong', 'together']	8, 2
Better you than your mother .	Better you than your mother	better you than your mother	['better', 'you', 'than', 'your', 'mother']	['better', 'mother']	['better', 'mother']	3
That's a twist . - Oh , a fruit twist ?	Thats a twist   Oh  a fruit twist	thats a twist   oh  a fruit twist	['thats', 'a', 'twist', 'oh', 'a', 'fruit', 'twist']	['thats', 'twist', 'oh', 'fruit', 'twist']	['thats', 'twist', 'oh', 'fruit', 'twist']	7
Arguing's pretty much in my blood .	Arguings pretty much in my blood	arguings pretty much in my blood	['arguings', 'pretty', 'much', 'in', 'my', 'blood']	['arguings', 'pretty', 'much', 'blood']	['arguing', 'pretty', 'much', 'blood']	6
Look , is there someplace that we could go and talk ?	Look  is there someplace that we could go and talk	look  is there someplace that we could go and talk	['look', 'is', 'there', 'someplace', 'that', 'we', 'could', 'go', 'and', 'talk']	['look', 'someplace', 'could', 'go', 'talk']	['look', 'someplace', 'could', 'go', 'talk']	8
You and [PERSON] are a couple of sluts .	You and PERSON are a couple of sluts	you and person are a couple of sluts	['you', 'and', 'person', 'are', 'a', 'couple', 'of', 'sluts']	['person', 'couple', 'sluts']	['person', 'couple', 'slut']	3
Is not it so ?	Is not it so	is not it so	['is', 'not', 'it', 'so']	[]	[]	3
I cast thee back to hell !	I cast thee back to hell	i cast thee back to hell	['i', 'cast', 'thee', 'back', 'to', 'hell']	['cast', 'thee', 'back', 'hell']	['cast', 'thee', 'back', 'hell']	1
Now , by my watch , does not mean in the morning , but : .	Now  by my watch  does not mean in the morning  but	now  by my watch  does not mean in the morning  but	['now', 'by', 'my', 'watch', 'does', 'not', 'mean', 'in', 'the', 'morning', 'but']	['watch', 'mean', 'morning']	['watch', 'mean', 'morning']	1, 3
Uncle [PERSON] ?	Uncle PERSON	uncle person	['uncle', 'person']	['uncle', 'person']	['uncle', 'person']	7
Keep your voice down !	Keep your voice down	keep your voice down	['keep', 'your', 'voice', 'down']	['keep', 'voice']	['keep', 'voice']	1
This is my first night being a dad .	This is my first night being a dad	this is my first night being a dad	['this', 'is', 'my', 'first', 'night', 'being', 'a', 'dad']	['first', 'night', 'dad']	['first', 'night', 'dad']	2, 4, 5
I don't want to be sent into that foreign atmosphere again .	I dont want to be sent into that foreign atmosphere again	i dont want to be sent into that foreign atmosphere again	['i', 'dont', 'want', 'to', 'be', 'sent', 'into', 'that', 'foreign', 'atmosphere', 'again']	['dont', 'want', 'sent', 'foreign', 'atmosphere']	['dont', 'want', 'sent', 'foreign', 'atmosphere']	4
Escape is impossible .	Escape is impossible	escape is impossible	['escape', 'is', 'impossible']	['escape', 'impossible']	['escape', 'impossible']	4
That was lovely .	That was lovely	that was lovely	['that', 'was', 'lovely']	['lovely']	['lovely']	5
You'll never deceive the people again !	Youll never deceive the people again	youll never deceive the people again	['youll', 'never', 'deceive', 'the', 'people', 'again']	['youll', 'never', 'deceive', 'people']	['youll', 'never', 'deceive', 'people']	1
let's drink to , uh , making new friends .	lets drink to  uh  making new friends	lets drink to  uh  making new friends	['lets', 'drink', 'to', 'uh', 'making', 'new', 'friends']	['lets', 'drink', 'uh', 'making', 'new', 'friends']	['let', 'drink', 'uh', 'making', 'new', 'friend']	8
The man ends up looking like his heart attacked him .	The man ends up looking like his heart attacked him	the man ends up looking like his heart attacked him	['the', 'man', 'ends', 'up', 'looking', 'like', 'his', 'heart', 'attacked', 'him']	['man', 'ends', 'looking', 'like', 'heart', 'attacked']	['man', 'end', 'looking', 'like', 'heart', 'attacked']	6
You're staying here till the real law comes .	Youre staying here till the real law comes	youre staying here till the real law comes	['youre', 'staying', 'here', 'till', 'the', 'real', 'law', 'comes']	['youre', 'staying', 'till', 'real', 'law', 'comes']	['youre', 'staying', 'till', 'real', 'law', 'come']	1
But I promise you that it will be the biggest innovation in the history of this business .	But I promise you that it will be the biggest innovation in the history of this business	but i promise you that it will be the biggest innovation in the history of this business	['but', 'i', 'promise', 'you', 'that', 'it', 'will', 'be', 'the', 'biggest', 'innovation', 'in', 'the', 'history', 'of', 'this', 'business']	['promise', 'biggest', 'innovation', 'history', 'business']	['promise', 'biggest', 'innovation', 'history', 'business']	2
Background , [PERSON] . Tell me about it .	Background  PERSON  Tell me about it	background  person  tell me about it	['background', 'person', 'tell', 'me', 'about', 'it']	['background', 'person', 'tell']	['background', 'person', 'tell']	8, 2
Your Majesty , being inside of your confidence ... is the greatest joy I've ever known .	Your Majesty  being inside of your confidence  is the greatest joy Ive ever known	your majesty  being inside of your confidence  is the greatest joy ive ever known	['your', 'majesty', 'being', 'inside', 'of', 'your', 'confidence', 'is', 'the', 'greatest', 'joy', 'ive', 'ever', 'known']	['majesty', 'inside', 'confidence', 'greatest', 'joy', 'ive', 'ever', 'known']	['majesty', 'inside', 'confidence', 'greatest', 'joy', 'ive', 'ever', 'known']	5
Come say hello to [PERSON] . Have you met ?	Come say hello to PERSON  Have you met	come say hello to person  have you met	['come', 'say', 'hello', 'to', 'person', 'have', 'you', 'met']	['come', 'say', 'hello', 'person', 'met']	['come', 'say', 'hello', 'person', 'met']	2
Why do you wear that rug ?	Why do you wear that rug	why do you wear that rug	['why', 'do', 'you', 'wear', 'that', 'rug']	['wear', 'rug']	['wear', 'rug']	3
That's not true .	Thats not true	thats not true	['thats', 'not', 'true']	['thats', 'true']	['thats', 'true']	1, 4
Anyway the orders promoting him to Detective , First Grade , have already been cut .	Anyway the orders promoting him to Detective  First Grade  have already been cut	anyway the orders promoting him to detective  first grade  have already been cut	['anyway', 'the', 'orders', 'promoting', 'him', 'to', 'detective', 'first', 'grade', 'have', 'already', 'been', 'cut']	['anyway', 'orders', 'promoting', 'detective', 'first', 'grade', 'already', 'cut']	['anyway', 'order', 'promoting', 'detective', 'first', 'grade', 'already', 'cut']	6
Well , too much TV is bad for my ears .	Well  too much TV is bad for my ears	well  too much tv is bad for my ears	['well', 'too', 'much', 'tv', 'is', 'bad', 'for', 'my', 'ears']	['well', 'much', 'tv', 'bad', 'ears']	['well', 'much', 'tv', 'bad', 'ear']	1, 3, 6
All right . Set up a meeting . I'll hear them all out .	All right  Set up a meeting  Ill hear them all out	all right  set up a meeting  ill hear them all out	['all', 'right', 'set', 'up', 'a', 'meeting', 'ill', 'hear', 'them', 'all', 'out']	['right', 'set', 'meeting', 'ill', 'hear']	['right', 'set', 'meeting', 'ill', 'hear']	2
I'm the first to go .	Im the first to go	im the first to go	['im', 'the', 'first', 'to', 'go']	['im', 'first', 'go']	['im', 'first', 'go']	1
